Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
227,Jaden Ivey,SG,20,DET,68,67,30.6,5.3,12.8,.414,1.5,4.5,.342,3.8,8.3,.453,.474,3.6,4.9,.740,1.0,2.9,3.9,5.0,0.8,0.3,3.1,3.2,15.8,iveyja01
228,Frank Jackson,PG,24,UTA,1,0,5.0,0.0,3.0,.000,0.0,1.0,.000,0.0,2.0,.000,.000,0.0,0.0,,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,jacksfr01
229,Isaiah Jackson,C,21,IND,58,9,16.0,2.8,5.0,.562,0.0,0.2,.143,2.8,4.8,.583,.566,1.4,2.1,.650,1.8,2.6,4.3,0.8,0.5,1.4,0.8,2.4,7.0,jacksis01
230,Jaren Jackson Jr.,C,23,MEM,58,58,28.1,6.4,12.7,.503,1.5,4.4,.340,4.9,8.3,.590,.562,3.6,4.7,.779,1.7,5.1,6.7,0.9,1.1,3.1,1.7,3.6,17.9,jacksja02
231,Justin Jackson,SF,27,BOS,23,0,4.7,0.3,1.2,.259,0.2,0.9,.250,0.1,0.3,.286,.352,0.0,0.1,.500,0.1,0.7,0.7,0.4,0.2,0.2,0.1,0.3,0.9,jacksju01
232,Quenton Jackson,PG,24,WAS,4,0,2.8,0.8,1.5,.500,0.3,0.8,.333,0.5,0.8,.667,.583,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.3,1.8,jacksqu01
233,Reggie Jackson,PG,32,TOT,62,38,24.6,3.8,9.4,.405,1.4,4.1,.342,2.4,5.2,.455,.481,1.1,1.2,.905,0.4,1.7,2.1,3.4,0.7,0.1,1.7,1.7,10.1,jacksre01
234,LeBron James,PF,38,LAL,49,48,35.8,11.2,22.3,.502,2.1,6.7,.306,9.1,15.5,.587,.549,4.8,6.3,.765,1.2,7.1,8.4,6.8,0.9,0.5,3.2,1.7,29.2,jamesle01
235,Ty Jerome,SG,25,GSW,44,2,18.5,2.7,5.5,.488,0.8,2.0,.389,1.9,3.5,.546,.560,0.9,0.9,.927,0.2,1.6,1.8,3.1,0.5,0.1,0.7,1.5,7.0,jeromty01
236,Isaiah Joe,SG,23,OKC,69,10,18.8,3.1,6.9,.450,2.2,5.4,.418,0.8,1.5,.569,.614,1.0,1.2,.826,0.4,2.0,2.4,1.2,0.6,0.1,0.5,1.4,9.4,joeis01
237,Alize Johnson,PF,26,SAS,4,0,7.5,0.8,1.5,.500,0.0,0.5,.000,0.8,1.0,.750,.500,0.3,0.5,.500,0.5,2.0,2.5,0.3,0.3,0.0,1.0,0.8,1.8,johnsal02
238,Cameron Johnson,PF,26,TOT,37,36,28.0,5.2,11.4,.460,2.6,6.4,.403,2.6,5.0,.533,.573,2.4,2.9,.830,0.8,3.5,4.3,1.8,1.1,0.4,0.8,2.0,15.4,johnsca02
239,Jalen Johnson,SF,21,ATL,64,6,14.5,2.0,4.3,.480,0.4,1.4,.292,1.6,2.9,.571,.527,0.7,1.0,.652,0.7,3.2,3.9,1.0,0.5,0.4,0.5,1.5,5.2,johnsja05
240,James Johnson,PF,35,IND,16,1,8.6,1.0,2.4,.421,0.2,0.8,.231,0.8,1.6,.520,.461,0.3,0.5,.500,0.1,1.3,1.4,0.7,0.3,0.4,0.3,1.8,2.4,johnsja01
241,Keldon Johnson,SF,23,SAS,61,61,32.8,8.0,17.6,.453,2.1,6.4,.332,5.8,11.1,.524,.514,3.9,5.2,.748,0.9,4.2,5.1,2.9,0.7,0.2,2.1,2.0,22.0,johnske04
242,Keon Johnson,SG,20,POR,40,0,10.4,1.7,4.5,.376,0.7,2.0,.346,1.0,2.4,.402,.455,0.7,1.0,.659,0.3,0.8,1.1,1.5,0.5,0.2,1.1,1.1,4.7,johnske07
243,Stanley Johnson,SF,26,SAS,30,0,15.6,2.2,4.1,.533,0.6,1.3,.450,1.6,2.7,.573,.607,0.9,1.3,.667,0.7,2.4,3.2,2.2,0.5,0.2,1.1,1.6,5.8,johnsst04
244,Nikola Jokić,C,27,DEN,67,67,33.9,9.5,15.0,.634,0.9,2.2,.390,8.7,12.8,.676,.663,5.1,6.1,.823,2.5,9.4,11.9,9.9,1.2,0.7,3.5,2.6,24.9,jokicni01
245,Carlik Jones,PG,25,CHI,3,0,8.0,0.3,1.7,.200,0.0,0.3,.000,0.3,1.3,.250,.200,0.3,1.3,.250,0.3,0.7,1.0,0.7,0.0,0.0,0.3,0.3,1.0,jonesca03
246,Damian Jones,C,27,TOT,36,1,10.3,1.1,1.9,.588,0.2,0.3,.500,0.9,1.6,.607,.632,0.5,0.7,.760,1.0,1.8,2.8,0.3,0.2,0.6,0.5,1.2,2.9,jonesda03
247,Derrick Jones Jr.,SF,25,CHI,59,0,14.0,1.8,3.6,.505,0.4,1.2,.333,1.4,2.4,.587,.559,1.0,1.3,.759,0.9,1.4,2.4,0.6,0.4,0.6,0.4,1.4,5.0,jonesde02
248,Herbert Jones,SF,24,NOP,60,60,29.0,3.5,7.5,.460,0.8,2.5,.303,2.7,5.0,.540,.511,1.8,2.4,.741,1.5,2.5,4.0,2.4,1.6,0.6,1.3,3.2,9.4,joneshe01
249,Kai Jones,C,22,CHO,41,0,10.7,1.3,2.3,.585,0.1,0.3,.250,1.3,2.0,.634,.601,0.4,0.6,.739,0.9,1.8,2.7,0.2,0.3,0.5,0.6,1.4,3.2,joneska01
250,Tre Jones,PG,23,SAS,62,59,29.1,4.9,11.0,.448,0.6,2.3,.269,4.3,8.6,.496,.476,2.1,2.4,.860,0.8,2.7,3.4,6.3,1.4,0.1,1.6,1.5,12.5,jonestr01
251,Tyus Jones,PG,26,MEM,75,21,24.2,4.0,8.9,.443,1.5,4.0,.380,2.4,4.9,.495,.528,1.0,1.3,.792,0.4,2.1,2.5,5.1,1.0,0.1,0.9,0.4,10.5,jonesty01
252,DeAndre Jordan,C,34,DEN,35,5,14.3,2.1,2.8,.773,0.0,0.0,1.000,2.1,2.7,.771,.778,0.5,1.2,.439,1.2,3.6,4.8,0.9,0.2,0.6,1.2,1.9,4.8,jordade01
253,Cory Joseph,PG,31,DET,56,2,18.8,2.3,5.3,.423,1.0,2.6,.378,1.3,2.8,.465,.513,1.0,1.2,.809,0.3,1.3,1.6,3.4,0.5,0.1,0.9,1.4,6.4,josepco01
254,Nikola Jović,PF,19,MIA,15,8,13.6,1.9,4.6,.406,0.5,2.3,.229,1.3,2.3,.588,.464,1.2,1.3,.947,0.6,1.5,2.1,0.7,0.5,0.1,0.7,1.3,5.5,jovicni01
255,Johnny Juzang,SF,21,UTA,14,0,12.0,1.8,5.2,.342,0.9,3.5,.245,0.9,1.7,.542,.425,0.1,0.3,.500,0.2,1.6,1.9,0.5,0.2,0.2,0.1,0.8,4.6,juzanjo01
256,Mfiondu Kabengele,PF,25,BOS,2,0,7.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,1.5,1.0,2.5,0.0,0.0,0.0,0.5,1.5,1.0,kabenmf01
257,Frank Kaminsky,C,29,TOT,34,0,6.3,0.8,1.6,.491,0.4,0.9,.400,0.4,0.7,.600,.600,0.4,0.5,.875,0.1,1.2,1.3,0.8,0.2,0.1,0.3,0.6,2.4,kaminfr01
